Pays,Dispo aliment(kg/pers/an),Exportations en tonnes,Importations en tonnes,Production en tonnes,Volaille vendu par France en tonnes,Population,Pib par habitant $,Stabilité politique,Monnaie locale standardisée par USD
Afghanistan,1530.0,0.0,29000.0,28000.0,244.0,36296113.0,520.616409,-2.8,68.026904082
Afrique du Sud,35690.0,63000.0,514000.0,1667000.0,0.0,57009756.0,6121.876572,-0.28,13.333781461
Albanie,16360.0,0.0,38000.0,13000.0,78.0,2884169.0,4514.204908,0.38,119.09966667
Algérie,6380.0,0.0,2000.0,275000.0,0.0,41389189.0,4109.696001,-0.92,110.97301667
Allemagne,19470.0,646000.0,842000.0,1514000.0,18920.0,82658409.0,44651.829102,0.59,0.8852055083
Angola,10560.0,0.0,277000.0,42000.0,203.0,29816766.0,4095.811686,-0.38,165.91595069
Antigua-et-Barbuda,54100.0,0.0,7000.0,0.0,0.0,95426.0,15383.415188,0.75,2.7
Arabie saoudite,43360.0,10000.0,722000.0,616000.0,97510.0,33101178.999999996,20802.464299,-0.64,3.75
Argentine,42240.0,207000.0,8000.0,2161000.0,0.0,43937140.0,14648.845969,0.17,16.562706925
Arménie,16059.999999999998,0.0,35000.0,11000.0,275.0,2944791.0,3914.525246,-0.62,482.71639385
Australie,47650.0,42000.0,16000.0,1269000.0,0.0,24584620.0,57628.863849,0.9,1.3047580767
Autriche,18200.0,78000.0,110000.0,148000.0,456.0,8819901.0,47309.051637,1.05,0.8852055083
Azerbaïdjan,13110.0,0.0,27000.0,104000.0,20.0,9845320.0,4150.868844,-0.75,1.7211548022
Bahamas,43170.0,0.0,24000.0,6000.0,0.0,381755.0,32376.12978,0.99,1.0
Bangladesh,1500.0,0.0,0.0,249000.0,28.0,159685424.0,1538.233627,-1.26,80.437541667
Barbade,46780.0,0.0,2000.0,15000.0,0.0,286232.0,17419.313704,0.97,2.0
Belgique,12650.0,656000.0,338000.0,463000.0,12577.0,11419748.0,44025.903247,0.43,0.8852055083
Belize,25690.0,0.0,0.0,20000.0,0.0,375769.0,4909.683057,0.04,2.0
Bolivie (État plurinational de),36000.0,1000.0,1000.0,533000.0,0.0,11192855.0,3351.127399,-0.28,6.91
Bosnie-Herzégovine,16700.0,8000.0,10000.0,61000.0,231.0,3351525.0,5394.741461,-0.35,1.7353527133
Botswana,3390.0,0.0,3000.0,5000.0,0.0,2205080.0,7893.36292,1.02,10.347420877
Brésil,48030.0,4223000.0,3000.0,14201000.0,0.0,207833823.0,9928.675992,-0.47,3.1913894463
Bulgarie,22060.0,45000.0,108000.0,107000.0,2795.0,7102444.0,8335.277986,0.33,1.7354583333
Burkina Faso,2270.0,0.0,0.0,46000.0,2.0,19193234.0,734.996282,-0.93,580.65674959
Bélarus,27980.0,152000.0,21000.0,463000.0,1046.0,9450231.0,5790.908054,-0.05,1.9323416667
Bénin,14400.0,0.0,123000.0,18000.0,19991.0,11175198.0,1136.59336,0.03,580.65674959
Cabo Verde,17620.0,0.0,12000.0,1000.0,254.0,537498.0,3292.638357,0.77,97.806937772
Cambodge,2340.0,0.0,10000.0,28000.0,0.0,16009409.0,1385.260419,0.09,4050.5799859
Cameroun,3160.0,0.0,0.0,81000.0,70.0,24566073.0,1425.106072,-1.1,580.65674959
Canada,39020.0,163000.0,182000.0,1417000.0,26.0,36732095.0,44906.74892,1.1,1.2977365173
Chili,36360.0,115000.0,155000.0,712000.0,0.0,18470439.0,14998.813979,0.42,648.8337926
Chine - RAS de Hong-Kong,53510.0,663000.0,907000.0,24000.0,10404.0,7306322.0,46705.027813,0.83,7.79325
Chine - RAS de Macao,34470.0,0.0,23000.0,3000.0,52.0,622585.0,81043.968656,1.43,8.026001
"Chine, Taiwan Province de",33170.0,8000.0,161000.0,652000.0,0.0,23674546.0,25.062,0.86,29.617
"Chine, continentale",12330.0,576000.0,452000.0,18236000.0,634.0,1421021791.0,8663.126784,-0.23,6.7587550863
Chypre,25080.0,1000.0,14000.0,25000.0,98.0,1179678.0,26755.5929,0.54,0.8852055083
Colombie,31990.0,2000.0,78000.0,1564000.0,0.0,48909839.0,6376.707362,-0.77,2951.3274023
Congo,21530.0,0.0,104000.0,7000.0,2797.0,5110695.0,2154.629048,-0.53,580.65674959
Costa Rica,26520.0,3000.0,17000.0,133000.0,0.0,4949954.0,12225.577172,0.61,567.51309031
Croatie,10770.0,17000.0,24000.0,61000.0,324.0,4182857.0,13439.243178,0.69,6.623831
Cuba,23720.0,0.0,312000.0,29000.0,0.0,11339254.0,8541.21444,0.65,1.0
Côte d'Ivoire,2530.0,0.0,7000.0,58000.0,753.0,24437470.0,2111.026809,-1.09,580.65674959
Danemark,28980.0,139000.0,133000.0,173000.0,4332.0,5732274.0,57938.797728,0.87,6.6028934656
Djibouti,2680.0,0.0,3000.0,0.0,366.0,944099.0,2930.696963,-0.74,177.72
Dominique,35190.0,0.0,4000.0,0.0,0.0,71458.0,7286.797839,1.2,2.7
El Salvador,20430.0,2000.0,16000.0,136000.0,0.0,6388126.0,3910.253179,-0.26,1.0
Espagne,30390.0,212000.0,205000.0,1515000.0,13441.0,46647428.0,28137.441564,0.28,0.8852055083
Estonie,21260.0,11000.0,21000.0,20000.0,77.0,1319390.0,20406.691807,0.65,0.8852055083
Eswatini,6460.0,0.0,2000.0,6000.0,0.0,1124805.0,3913.145927,-0.27,13.333781461
Fidji,28020.0,0.0,3000.0,23000.0,0.0,877459.0,6101.130428,0.62,2.0668753038
Finlande,18760.0,12000.0,16000.0,129000.0,77.0,5511371.0,46385.550876,1.08,0.8852055083
France,22900.0,501000.0,506000.0,1750000.0,0.0,64842509.0,38720.645922,0.28,0.8852055083
Fédération de Russie,30980.0,115000.0,226000.0,4444000.0,0.0,145530082.0,10817.003315,-0.64,58.342801185
Gabon,29330.0,0.0,76000.0,4000.0,2231.0,2064822.9999999998,7230.472774,-0.1,580.65674959
Gambie,3530.0,0.0,16000.0,2000.0,0.0,2213889.0,679.778473,-0.08,46.607527117
Ghana,7240.0,0.0,151000.0,60000.0,344.0,29121465.0,2074.175443,0.09,4.3507416667
Grenade,45700.0,0.0,7000.0,1000.0,0.0,110874.0,10152.832812,1.01,2.7
Grèce,15320.0,29000.0,79000.0,246000.0,136.0,10569450.0,18907.740558,-0.07,0.8852055083
Guatemala,20580.0,7000.0,129000.0,235000.0,0.0,16914970.0,4236.114906,-0.65,7.34793875
Guinée,4080.0,0.0,37000.0,13000.0,1762.0,12067519.0,855.575057,-0.7,9088.319508
Guinée-Bissau,2160.0,0.0,4000.0,3000.0,0.0,1828145.0,738.550286,-0.5,580.65674959
Guyana,38340.0,0.0,0.0,31000.0,0.0,775222.0,6124.922066,-0.04,206.5
Géorgie,15270.0,5000.0,51000.0,22000.0,1384.0,4008716.0,4051.842804,-0.37,2.5095416667
Haïti,8910.0,0.0,89000.0,9000.0,1075.0,10982366.0,1387.438826,-0.67,64.769680285
Honduras,21730.0,1000.0,12000.0,193000.0,0.0,9429013.0,2453.729573,-0.56,23.487083943
Hongrie,25270.0,210000.0,58000.0,493000.0,176.0,9729823.0,14711.08422,0.81,274.43333333
Inde,2220.0,4000.0,0.0,3545000.0,0.0,1338676785.0,1960.39034,-0.76,65.121568645
Indonésie,7190.0,0.0,1000.0,2301000.0,0.0,264650963.0,3837.578117,-0.5,13380.833879
Iran (République islamique d'),27520.0,45000.0,6000.0,2174000.0,0.0,80673883.0,6243.780412,-0.93,33226.298152
Iraq,14950.0,0.0,470000.0,96000.0,594.0,37552781.0,4985.453728,-2.31,1184.0
