Pays,Latitude,Longitude
Afghanistan,33.0,65.0
Albanie,41.0,20.0
Antarctique,-90.0,0.0
Algérie,28.0,3.0
Samoa américaines,-14.33,-170.0
Andorre,42.5,1.5
Angola,-12.5,18.5
Antigua-et-Barbuda,17.05,-61.8
Azerbaïdjan,40.5,47.5
Argentine,-34.0,-64.0
Australie,-27.0,133.0
Autriche,47.33,13.33
Bahamas,24.25,-76.0
Bahreïn,26.0,50.55
Bangladesh,24.0,90.0
Arménie,40.0,45.0
Barbade,13.17,-59.53
Belgique,50.83,4.0
Bermudes,32.33,-64.75
Bhoutan,27.5,90.5
Bolivie (État plurinational de),-17.0,-65.0
Bosnie-Herzégovine,44.0,18.0
Botswana,-22.0,24.0
Île Bouvet,-54.43,3.4
Brésil,-10.0,-55.0
Belize,17.25,-88.75
Archipel des Chagos,-6.0,71.5
Îles Salomon,-8.0,159.0
Îles Vierges britanniques,18.5,-64.5
Brunéi Darussalam,4.5,114.67
Bulgarie,43.0,25.0
Myanmar,22.0,98.0
Burundi,-3.5,30.0
Bélarus,53.0,28.0
Cambodge,13.0,105.0
Cameroun,6.0,12.0
Canada,60.0,-95.0
Cabo Verde,16.0,-24.0
Îles Caïmanes,19.5,-80.5
République centrafricaine,7.0,21.0
Sri Lanka,7.0,81.0
Tchad,15.0,19.0
Chili,-30.0,-71.0
"Chine, continentale",35.0,105.0
"Chine, Taiwan Province de",23.5,121.0
Île Christmas,-10.5,105.67
Îles des Cocos (Keeling),-12.5,96.83
Colombie,4.0,-72.0
Comores,-12.17,44.25
Mayotte,-12.83,45.17
Congo,-1.0,15.0
République démocratique du Congo,0.0,25.0
Îles Cook,-21.23,-159.77
Costa Rica,10.0,-84.0
Croatie,45.17,15.5
Cuba,21.5,-80.0
Chypre,35.0,33.0
Tchéquie,49.75,15.5
Bénin,9.5,2.25
Danemark,56.0,10.0
Dominique,15.42,-61.33
République dominicaine,19.0,-70.67
Équateur,-2.0,-77.5
El Salvador,13.83,-88.92
Guinée équatoriale,2.0,10.0
Éthiopie,8.0,38.0
Érythrée,15.0,39.0
Estonie,59.0,26.0
Îles Féroé,62.0,-7.0
Îles Falkland (Malvinas),-51.75,-59.0
Géorgie du Sud-et-Îles Sandwich du Sud,-54.5,-37.0
Fidji,-18.0,175.0
Finlande,64.0,26.0
France,46.0,2.0
Guyane française,4.0,-53.0
Polynésie française,-15.0,-140.0
Terres australes françaises,-43.0,67.0
Djibouti,11.5,43.0
Gabon,-1.0,11.75
Géorgie,42.0,43.5
Gambie,13.47,-16.57
Allemagne,51.0,9.0
Ghana,8.0,-2.0
Gibraltar,36.18,-5.37
Kiribati,1.42,173.0
Grèce,39.0,22.0
Groenland,72.0,-40.0
Grenade,12.12,-61.67
Guadeloupe,16.25,-61.58
Guam,13.47,144.78
Guatemala,15.5,-90.25
Guinée,11.0,-10.0
Guyana,5.0,-59.0
Haïti,19.0,-72.42
Îles Heard et McDonald,-53.1,72.52
Saint-Siège,41.9,12.45
Honduras,15.0,-86.5
Chine - RAS de Hong-Kong,22.25,114.17
Hongrie,47.0,20.0
Islande,65.0,-18.0
Inde,20.0,77.0
